command,emitted_by_lua,consumed_in_files
AddNpc,yes,"NONE"
AddPlayer,yes,"NONE"
AddSkill,yes,"NONE"
AddTotalGameTime,yes,"NONE"
ArrangeSeats,yes,"NONE"
AskForCardChosen,yes,"stores/popupStore.ts;stores/vmStore.ts"
AskForResponseCard,yes,"stores/vmStore.ts"
AskForSkillInvoke,yes,"stores/vmStore.ts"
AskForUseActiveSkill,yes,"stores/vmStore.ts"
AskForUseCard,yes,"stores/vmStore.ts"
CancelRequest,yes,"stores/popupStore.ts;stores/vmStore.ts"
ChangeSelf,yes,"stores/vmStore.ts;vm/clientVm.ts"
ChangeSkin,yes,"NONE"
Chat,yes,"stores/index.ts;stores/roomChatStore.ts;stores/vmStore.ts;table/RoomChatPanel.tsx;components/ChatBox.tsx"
EnterLobby,yes,"stores/index.ts"
EnterRoom,yes,"stores/index.ts;stores/gameStore.ts;stores/roomRouting.ts;components/RoomList.tsx"
GameLog,yes,"stores/vmStore.ts;stores/logStore.ts"
GameOver,yes,"stores/gameStore.ts"
LogEvent,yes,"stores/vmStore.ts;stores/pacing.ts;stores/animationStore.ts"
LoseSkill,yes,"NONE"
MaxCard,yes,"NONE"
MoveCards,yes,"stores/cardStore.ts;stores/vmStore.ts;stores/pacing.ts"
PlayCard,yes,"stores/vmStore.ts"
PropertyUpdate,yes,"NONE"
RemovePlayer,yes,"NONE"
ReplyToServer,yes,"stores/vmStore.ts;vm/clientVm.ts"
ServerMessage,yes,"NONE"
SetBanner,yes,"NONE"
SetCardFootnote,yes,"stores/vmStore.ts"
SetPlayerMark,yes,"stores/gameStore.ts"
ShowToast,yes,"stores/vmStore.ts;table/Toast.tsx"
ShowVirtualCard,yes,"NONE"
StartGame,yes,"stores/gameStore.ts;stores/vmStore.ts;table/WaitingRoom.tsx"
UpdateCard,yes,"stores/vmStore.ts"
UpdateDrawPile,yes,"stores/vmStore.ts"
UpdateGameData,yes,"NONE"
UpdateHandcard,yes,"NONE"
UpdateLimitSkill,yes,"NONE"
UpdateMarkArea,yes,"NONE"
UpdateRequestUI,yes,"stores/interactionStore.ts;stores/vmStore.ts;vm/clientVm.ts"
UpdateRoundNum,yes,"stores/vmStore.ts"
UpdateSkill,yes,"NONE"
