path,lines,exports
apps/gateway/src/asio-client.ts,210,"HandshakeResult;Credentials;AsioClient"
apps/gateway/src/config.ts,71,"GatewayConfig;loadConfig"
apps/gateway/src/index.ts,29,""
apps/gateway/src/log.ts,20,"log"
apps/gateway/src/rsa.ts,39,"encryptPassword"
apps/gateway/src/ws-bridge.ts,288,"BridgeHandle;startWsBridge"
apps/web/src/App.tsx,47,"App"
apps/web/src/components/ChatBox.tsx,47,"ChatBox"
apps/web/src/components/CreateRoomDialog.tsx,136,"CreateRoomDialog"
apps/web/src/components/RoomList.tsx,64,"RoomList"
apps/web/src/components/VmDebugPanel.tsx,240,"VmDebugPanel"
apps/web/src/diag/assetCheck.ts,70,"AssetProblem;AssetCheckResult"
apps/web/src/diag/assetPrecache.ts,66,"isPrecacheEnabled;setPrecacheEnabled;PrecacheResult"
apps/web/src/diag/log.ts,65,"log;setLogLevel;noteNotify;unhandledCommands"
apps/web/src/diag/memStats.ts,61,"MemSample"
apps/web/src/diag/notifyCommands.ts,73,"NotifyDisposition;HANDLED_EXPLICIT;MIRROR_DRIVEN;KNOWN_DEFERRED;classifyNotify"
apps/web/src/i18n/zh.ts,31,"registerTranslations;hasTranslation;tr"
apps/web/src/main.tsx,12,""
apps/web/src/net/gatewayClient.ts,105,"LoginCredentials;GatewayStatus;GatewayClientOptions;GatewayClient"
apps/web/src/pages/LobbyPage.tsx,96,"LobbyPage"
apps/web/src/pages/LoginPage.tsx,83,"LoginPage"
apps/web/src/pwa/PwaUpdater.tsx,83,"PwaUpdater"
apps/web/src/stores/animationStore.ts,110,"PlayerEffectKind;PlayerEffect;SceneEffectKind;SceneEffect;useAnimationStore"
apps/web/src/stores/cardFaceStore.ts,59,"useCardFaceStore;suitSymbol;isRedSuit;numberStr"
apps/web/src/stores/cardNoteStore.ts,35,"useCardNoteStore"
apps/web/src/stores/cardStore.ts,210,"CardArea;AreaKey;MoveInfo;CardLoc;useCardStore"
apps/web/src/stores/detailStore.ts,27,"useDetailStore"
apps/web/src/stores/focusStore.ts,37,"useFocusStore"
apps/web/src/stores/gameStore.ts,249,"GamePlayer;VmPlayerLike;useGameStore"
apps/web/src/stores/index.ts,471,"useConnectionStore;useAuthStore;RoomInfo;ChatLine;useLobbyStore"
apps/web/src/stores/interactionStore.ts,147,"ItemState;InteractionSpec;useInteractionStore"
apps/web/src/stores/logStore.ts,27,"useLogStore"
apps/web/src/stores/miscStore.ts,61,"useMiscStore"
apps/web/src/stores/pacing.ts,105,"paceFor;getPace;setPace;waitBeat"
apps/web/src/stores/popupStore.ts,460,"PopupKind;CardGroup;ArrangeArea;PopupRequest;shuffleInvisibleOutput;shuffleInvisiblePoxi;usePopupStore"
apps/web/src/stores/roleGuessStore.ts,39,"GUESS_ROLES;GuessRole;useRoleGuessStore"
apps/web/src/stores/roomChatStore.ts,66,"RoomChatLine;PRESENT_TYPES;parsePresent;useRoomChatStore"
apps/web/src/stores/roomRouting.ts,18,"ROOM_BOOTSTRAP_COMMANDS;isRoomBootstrap"
apps/web/src/stores/serverManifestStore.ts,56,"ServerManifest;useServerManifestStore;parseManifest"
apps/web/src/stores/timerStore.ts,80,"TIMEOUT_SEC;useTimerStore;fractionLeft"
apps/web/src/stores/vmStore.ts,726,"useVmStore"
apps/web/src/table/AnimationLayer.tsx,198,"AnimationLayer"
apps/web/src/table/CardFaceView.tsx,122,"CardFaceView"
apps/web/src/table/CardLayer.tsx,282,"CardLayer"
apps/web/src/table/CountdownBar.tsx,69,"CountdownBar"
apps/web/src/table/Dashboard.tsx,276,"Dashboard"
apps/web/src/table/EquipArea.tsx,89,"EquipArea"
apps/web/src/table/GameLogPanel.tsx,51,"GameLogPanel"
apps/web/src/table/GameOverModal.tsx,126,"GameOverModal"
apps/web/src/table/GeneralCard.tsx,95,"GeneralCard"
apps/web/src/table/GeneralDetailModal.tsx,179,"GeneralDetailModal"
apps/web/src/table/HpBar.tsx,55,"HpBar"
apps/web/src/table/JudgeArea.tsx,59,"JudgeArea"
apps/web/src/table/LoadingRoom.tsx,23,"LoadingRoom"
apps/web/src/table/MiscStatus.tsx,58,"MiscStatus"
apps/web/src/table/Photo.tsx,331,"Photo"
apps/web/src/table/PhotoEffects.tsx,192,"loadAnimManifest;PhotoEffects;EmotionSprite"
apps/web/src/table/PhotoFocusBar.tsx,53,"PhotoFocusBar"
apps/web/src/table/PromptText.tsx,24,"PromptText"
apps/web/src/table/RequestPopup.tsx,583,"RequestPopup"
apps/web/src/table/RoomChatPanel.tsx,111,"RoomChatPanel"
apps/web/src/table/RoomScene.tsx,54,"RoomScene"
apps/web/src/table/Stage.tsx,32,"STAGE_W;STAGE_H;Stage"
apps/web/src/table/Toast.tsx,35,"Toast"
apps/web/src/table/WaitingRoom.tsx,100,"WaitingRoom"
apps/web/src/table/areas.ts,69,"Box;CARD_W;CARD_H;DRAW_PILE;TABLE_PILE;playerAreaBox;resolveAreaBox"
apps/web/src/table/arrangeDrop.ts,34,"ArrangeState;arrangeDrop;arrangeValid"
apps/web/src/table/audio.ts,265,"setAudioPacks;loadAudioManifest;unlockAudio;setVolume;isBgmMuted;playBgm;stopBgm;toggleBgmMuted;isSfxMuted;toggleSfxMuted;playDrawSound;playMoveSound;playSystem;playByPath;playSkillSound;playDeath;warmSkillSound"
apps/web/src/table/processPrompt.ts,44,"processPrompt"
apps/web/src/table/seatLayout.ts,115,"SeatPos;StageDims;DEFAULT_STAGE;seatPosition;PHOTO_WIDTH;PHOTO_HEIGHT"
apps/web/src/table/skin.ts,269,"setArtPacks;loadImageManifest;generalPic;generalAvatar;generalPicCandidates;generalCardBorder;kingdomIcon;cardPic;cardPicCandidates;equipIcon;equipIconCandidates;delayedTrickPic;delayedTrickSealedPic;photoBack;rolePic;magatama;shieldPic;deathPic;chainPic;resolveAnim;animFrameUrl;handcardPic;equipBgPic;suitPic;numberPic;cardBackPic;markPicCandidates;chosenPic;statePic;warmImage;warmCardPic"
apps/web/src/table/useLongPress.ts,58,"LongPressHandlers;makeLongPress;useLongPress"
apps/web/src/table/waitingState.ts,49,"WaitingState;deriveWaitingState"
apps/web/src/vm/clientVm.ts,788,"NotifyEvent;ClientVmStats;ServerMessage;ClientVm;SkillInfo;GameSummaryRow;GeneralInfo;PlayerCardInfo;GeneralDetail;CardFace;VmPlayer"
packages/assets/src/enumerate.ts,101,"ListManifest;AnimManifest;FileListManifest;AssetManifests;FIXED_ASSETS;animFramePaths;fileListPaths;enumerateAssets"
packages/assets/src/index.ts,118,"AssetsManifest;computeFlistMd5;buildManifest"
packages/assets/test/enumerate.test.ts,67,""
packages/assets/test/md5.test.ts,74,""
packages/lua-native/src/boot.ts,66,"LuaEngineLike;BootClientOptions;BootClientResult"
packages/lua-native/src/index.ts,20,"type;type;type;PRELUDE_LUA_PATH;SERVER_PRELUDE_LUA_PATH"
packages/lua-native/src/mount.ts,83,"LuaFactoryLike;FileListManifest;VFS_PACKAGES"
packages/lua-native/src/natives.ts,120,"EmscriptenFS;NativesOptions;Natives;createNatives"
packages/lua-native/test/boot.test.ts,96,""
packages/lua-native/test/feed.test.ts,969,""
