"path","extension","lines","bytes"
"FreeKill-sourcecode\src\applink.c",".c","138","3822"
"FreeKill-sourcecode\src\client\client.cpp",".cpp","258","8386"
"FreeKill-sourcecode\src\client\client.h",".h","80","2581"
"FreeKill-sourcecode\src\client\clientplayer.cpp",".cpp","9","209"
"FreeKill-sourcecode\src\client\clientplayer.h",".h","30","568"
"FreeKill-sourcecode\src\client\replayer.cpp",".cpp","206","4799"
"FreeKill-sourcecode\src\client\replayer.h",".h","56","1108"
"FreeKill-sourcecode\src\core\c-wrapper.cpp",".cpp","243","5925"
"FreeKill-sourcecode\src\core\c-wrapper.h",".h","60","1468"
"FreeKill-sourcecode\src\core\packman.cpp",".cpp","611","17729"
"FreeKill-sourcecode\src\core\packman.h",".h","50","1621"
"FreeKill-sourcecode\src\core\player.cpp",".cpp","108","2521"
"FreeKill-sourcecode\src\core\player.h",".h","75","1523"
"FreeKill-sourcecode\src\core\util.cpp",".cpp","251","7492"
"FreeKill-sourcecode\src\core\util.h",".h","49","1044"
"FreeKill-sourcecode\src\freekill.cpp",".cpp","467","14814"
"FreeKill-sourcecode\src\freekill.h",".h","8","160"
"FreeKill-sourcecode\src\main.cpp",".cpp","39","1665"
"FreeKill-sourcecode\src\network\client_socket.cpp",".cpp","291","8680"
"FreeKill-sourcecode\src\network\client_socket.h",".h","108","4113"
"FreeKill-sourcecode\src\network\router.cpp",".cpp","186","4885"
"FreeKill-sourcecode\src\network\router.h",".h","94","2784"
"FreeKill-sourcecode\src\network\server_socket.cpp",".cpp","57","2018"
"FreeKill-sourcecode\src\network\server_socket.h",".h","50","1548"
"FreeKill-sourcecode\src\pch.h",".h","33","612"
"FreeKill-sourcecode\src\server\cli\shell.cpp",".cpp","893","25215"
"FreeKill-sourcecode\src\server\cli\shell.h",".h","61","1558"
"FreeKill-sourcecode\src\server\gamelogic\roomthread.cpp",".cpp","135","3476"
"FreeKill-sourcecode\src\server\gamelogic\roomthread.h",".h","84","1867"
"FreeKill-sourcecode\src\server\room\lobby.cpp",".cpp","183","5913"
"FreeKill-sourcecode\src\server\room\lobby.h",".h","32","955"
"FreeKill-sourcecode\src\server\room\room.cpp",".cpp","830","24033"
"FreeKill-sourcecode\src\server\room\room.h",".h","138","3840"
"FreeKill-sourcecode\src\server\room\roombase.cpp",".cpp","110","3449"
"FreeKill-sourcecode\src\server\room\roombase.h",".h","35","1054"
"FreeKill-sourcecode\src\server\server.cpp",".cpp","420","12022"
"FreeKill-sourcecode\src\server\server.h",".h","147","5303"
"FreeKill-sourcecode\src\server\task\task.cpp",".cpp","101","2132"
"FreeKill-sourcecode\src\server\task\task.h",".h","49","1214"
"FreeKill-sourcecode\src\server\task\task_manager.cpp",".cpp","108","2744"
"FreeKill-sourcecode\src\server\task\task_manager.h",".h","33","858"
"FreeKill-sourcecode\src\server\user\auth.cpp",".cpp","337","10302"
"FreeKill-sourcecode\src\server\user\auth.h",".h","33","741"
"FreeKill-sourcecode\src\server\user\serverplayer.cpp",".cpp","365","10561"
"FreeKill-sourcecode\src\server\user\serverplayer.h",".h","92","2250"
"FreeKill-sourcecode\src\swig\client.i",".i","41","1301"
"FreeKill-sourcecode\src\swig\freekill.i",".i","29","634"
"FreeKill-sourcecode\src\swig\naturalvar.i",".i","300","7907"
"FreeKill-sourcecode\src\swig\player.i",".i","37","741"
"FreeKill-sourcecode\src\swig\qt.i",".i","92","2194"
"FreeKill-sourcecode\src\swig\server.i",".i","114","2750"
"FreeKill-sourcecode\src\ui\qmlbackend.cpp",".cpp","538","16572"
"FreeKill-sourcecode\src\ui\qmlbackend.h",".h","103","3136"
