"path","extension","lines","bytes"
"FreeKill-sourcecode\lua\client\client.lua",".lua","66","1810"
"FreeKill-sourcecode\lua\client\client_util.lua",".lua","1354","43719"
"FreeKill-sourcecode\lua\client\clientbase.lua",".lua","618","17920"
"FreeKill-sourcecode\lua\client\clientplayer_base.lua",".lua","35","816"
"FreeKill-sourcecode\lua\client\i18n\en_US.lua",".lua","572","24101"
"FreeKill-sourcecode\lua\client\i18n\init.lua",".lua","5","156"
"FreeKill-sourcecode\lua\client\i18n\vi_VN.lua",".lua","651","26911"
"FreeKill-sourcecode\lua\client\i18n\zh_CN.lua",".lua","801","31816"
"FreeKill-sourcecode\lua\compat\askfor.lua",".lua","794","32424"
"FreeKill-sourcecode\lua\core\boardgame.lua",".lua","33","1014"
"FreeKill-sourcecode\lua\core\debug.lua",".lua","95","3200"
"FreeKill-sourcecode\lua\core\engine.lua",".lua","158","5293"
"FreeKill-sourcecode\lua\core\game_mode.lua",".lua","152","5127"
"FreeKill-sourcecode\lua\core\mod_manager.lua",".lua","181","6045"
"FreeKill-sourcecode\lua\core\package.lua",".lua","18","603"
"FreeKill-sourcecode\lua\core\player.lua",".lua","133","3792"
"FreeKill-sourcecode\lua\core\request_handler.lua",".lua","80","3342"
"FreeKill-sourcecode\lua\core\roombase.lua",".lua","126","3692"
"FreeKill-sourcecode\lua\core\task_def.lua",".lua","17","303"
"FreeKill-sourcecode\lua\core\trigger_event.lua",".lua","212","7069"
"FreeKill-sourcecode\lua\core\ui_package.lua",".lua","15","336"
"FreeKill-sourcecode\lua\core\util.lua",".lua","775","20669"
"FreeKill-sourcecode\lua\fk_ex.lua",".lua","400","25830"
"FreeKill-sourcecode\lua\freekill.lua",".lua","89","2562"
"FreeKill-sourcecode\lua\lib\debugger.lua",".lua","596","19406"
"FreeKill-sourcecode\lua\lib\fkparser.lua",".lua","359","11262"
"FreeKill-sourcecode\lua\lib\inspect.lua",".lua","337","8829"
"FreeKill-sourcecode\lua\lib\json.lua",".lua","388","10026"
"FreeKill-sourcecode\lua\lib\middleclass.lua",".lua","192","6486"
"FreeKill-sourcecode\lua\lsp\client.lua",".lua","74","1784"
"FreeKill-sourcecode\lua\lsp\freekill.lua",".lua","100","1820"
"FreeKill-sourcecode\lua\lsp\lib.lua",".lua","55","1042"
"FreeKill-sourcecode\lua\lsp\player.lua",".lua","84","1562"
"FreeKill-sourcecode\lua\lsp\qt.lua",".lua","14","259"
"FreeKill-sourcecode\lua\lsp\server.lua",".lua","155","3399"
"FreeKill-sourcecode\lua\lsp\test_util.lua",".lua","67","1867"
"FreeKill-sourcecode\lua\lunarltk\client\client.lua",".lua","991","30188"
"FreeKill-sourcecode\lua\lunarltk\client\clientplayer.lua",".lua","92","2813"
"FreeKill-sourcecode\lua\lunarltk\core\card.lua",".lua","994","32776"
"FreeKill-sourcecode\lua\lunarltk\core\card_skeleton.lua",".lua","79","2061"
"FreeKill-sourcecode\lua\lunarltk\core\card_type\basic.lua",".lua","11","275"
"FreeKill-sourcecode\lua\lunarltk\core\card_type\equip.lua",".lua","169","5731"
"FreeKill-sourcecode\lua\lunarltk\core\card_type\trick.lua",".lua","19","563"
"FreeKill-sourcecode\lua\lunarltk\core\engine.lua",".lua","653","23145"
"FreeKill-sourcecode\lua\lunarltk\core\events\death.lua",".lua","95","3885"
"FreeKill-sourcecode\lua\lunarltk\core\events\gameflow.lua",".lua","216","9487"
"FreeKill-sourcecode\lua\lunarltk\core\events\hp.lua",".lua","224","9187"
"FreeKill-sourcecode\lua\lunarltk\core\events\init.lua",".lua","30","869"
"FreeKill-sourcecode\lua\lunarltk\core\events\judge.lua",".lua","81","2586"
"FreeKill-sourcecode\lua\lunarltk\core\events\misc.lua",".lua","186","8966"
"FreeKill-sourcecode\lua\lunarltk\core\events\movecard.lua",".lua","100","4983"
"FreeKill-sourcecode\lua\lunarltk\core\events\pindian.lua",".lua","59","2874"
"FreeKill-sourcecode\lua\lunarltk\core\events\skill.lua",".lua","71","3576"
"FreeKill-sourcecode\lua\lunarltk\core\events\usecard.lua",".lua","852","33004"
"FreeKill-sourcecode\lua\lunarltk\core\exppattern.lua",".lua","533","14094"
"FreeKill-sourcecode\lua\lunarltk\core\general.lua",".lua","193","7114"
"FreeKill-sourcecode\lua\lunarltk\core\known_card_tracker.lua",".lua","301","10667"
"FreeKill-sourcecode\lua\lunarltk\core\package.lua",".lua","199","6182"
"FreeKill-sourcecode\lua\lunarltk\core\personal_mark.lua",".lua","17","396"
"FreeKill-sourcecode\lua\lunarltk\core\player.lua",".lua","1856","63063"
"FreeKill-sourcecode\lua\lunarltk\core\request_type\active_skill.lua",".lua","582","19593"
"FreeKill-sourcecode\lua\lunarltk\core\request_type\invoke.lua",".lua","36","893"
"FreeKill-sourcecode\lua\lunarltk\core\request_type\play_card.lua",".lua","227","7119"
"FreeKill-sourcecode\lua\lunarltk\core\request_type\response_card.lua",".lua","258","8057"
"FreeKill-sourcecode\lua\lunarltk\core\request_type\use_card.lua",".lua","173","6044"
"FreeKill-sourcecode\lua\lunarltk\core\room\abstract_room.lua",".lua","142","5054"
"FreeKill-sourcecode\lua\lunarltk\core\room\card_manager.lua",".lua","360","11592"
"FreeKill-sourcecode\lua\lunarltk\core\room\skill_manager.lua",".lua","0","0"
"FreeKill-sourcecode\lua\lunarltk\core\room\user_manager.lua",".lua","0","0"
"FreeKill-sourcecode\lua\lunarltk\core\skill.lua",".lua","265","8749"
"FreeKill-sourcecode\lua\lunarltk\core\skill_skeleton.lua",".lua","942","36562"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\active.lua",".lua","220","8107"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\attack_range.lua",".lua","48","1098"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\cardskill.lua",".lua","391","13929"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\distance.lua",".lua","22","488"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\filter.lua",".lua","36","912"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\invalidity.lua",".lua","23","713"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\max_cards.lua",".lua","22","451"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\prohibit.lua",".lua","43","967"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\status_skill.lua",".lua","13","353"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\target_mod.lua",".lua","90","3005"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\trigger.lua",".lua","149","5885"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\usable_skill.lua",".lua","149","5799"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\view_as.lua",".lua","205","8020"
"FreeKill-sourcecode\lua\lunarltk\core\skill_type\visibility.lua",".lua","33","956"
"FreeKill-sourcecode\lua\lunarltk\core\skin_package.lua",".lua","15","336"
"FreeKill-sourcecode\lua\lunarltk\init.lua",".lua","63","1226"
"FreeKill-sourcecode\lua\lunarltk\server\ai\ai.lua",".lua","221","6337"
"FreeKill-sourcecode\lua\lunarltk\server\ai\init.lua",".lua","57","1667"
"FreeKill-sourcecode\lua\lunarltk\server\ai\logic.lua",".lua","652","19197"
"FreeKill-sourcecode\lua\lunarltk\server\ai\smart_ai.lua",".lua","612","19751"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\active.lua",".lua","177","5445"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\ag.lua",".lua","35","662"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\arrange_cards.lua",".lua","35","818"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\card_skill.lua",".lua","122","3820"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\cards.lua",".lua","28","634"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\choice.lua",".lua","35","703"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\choices.lua",".lua","35","720"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\choose_card.lua",".lua","35","750"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\choose_cards.lua",".lua","35","815"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\choose_cards_and_choice.lua",".lua","37","1077"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\choose_cards_and_players.lua",".lua","38","1112"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\choose_general.lua",".lua","35","780"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\choose_kingdom.lua",".lua","34","760"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\choose_player.lua",".lua","38","1004"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\discard.lua",".lua","28","654"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\exchange.lua",".lua","28","627"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\guanxing.lua",".lua","35","829"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\init.lua",".lua","136","5049"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\invoke.lua",".lua","30","678"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\joint_cards.lua",".lua","28","684"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\joint_choice.lua",".lua","34","738"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\move_board.lua",".lua","38","960"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\number.lua",".lua","28","670"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\poxi.lua",".lua","35","738"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\view_cards.lua",".lua","28","666"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\view_cards_and_choice.lua",".lua","34","815"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategies\yiji.lua",".lua","38","908"
"FreeKill-sourcecode\lua\lunarltk\server\ai\strategy.lua",".lua","29","809"
"FreeKill-sourcecode\lua\lunarltk\server\ai\trust_ai.lua",".lua","56","1661"
"FreeKill-sourcecode\lua\lunarltk\server\ai\util.lua",".lua","75","2513"
"FreeKill-sourcecode\lua\lunarltk\server\events\death.lua",".lua","197","5309"
"FreeKill-sourcecode\lua\lunarltk\server\events\gameflow.lua",".lua","496","14121"
"FreeKill-sourcecode\lua\lunarltk\server\events\hp.lua",".lua","517","14205"
"FreeKill-sourcecode\lua\lunarltk\server\events\init.lua",".lua","60","1878"
"FreeKill-sourcecode\lua\lunarltk\server\events\judge.lua",".lua","207","5942"
"FreeKill-sourcecode\lua\lunarltk\server\events\misc.lua",".lua","198","7328"
"FreeKill-sourcecode\lua\lunarltk\server\events\movecard.lua",".lua","1038","37062"
"FreeKill-sourcecode\lua\lunarltk\server\events\pindian.lua",".lua","288","8483"
"FreeKill-sourcecode\lua\lunarltk\server\events\skill.lua",".lua","298","9833"
"FreeKill-sourcecode\lua\lunarltk\server\events\usecard.lua",".lua","875","29259"
"FreeKill-sourcecode\lua\lunarltk\server\gamelogic.lua",".lua","466","14584"
"FreeKill-sourcecode\lua\lunarltk\server\mark_enum.lua",".lua","81","2857"
"FreeKill-sourcecode\lua\lunarltk\server\room.lua",".lua","3881","138929"
"FreeKill-sourcecode\lua\lunarltk\server\serverplayer.lua",".lua","844","26471"
"FreeKill-sourcecode\lua\lunarltk\server\system_enum.lua",".lua","87","3884"
"FreeKill-sourcecode\lua\server\ai.lua",".lua","54","1663"
"FreeKill-sourcecode\lua\server\gameevent.lua",".lua","404","12062"
"FreeKill-sourcecode\lua\server\gamelogic.lua",".lua","418","13376"
"FreeKill-sourcecode\lua\server\request.lua",".lua","376","14307"
"FreeKill-sourcecode\lua\server\roombase.lua",".lua","643","20249"
"FreeKill-sourcecode\lua\server\rpc\cbor.lua",".lua","607","16232"
"FreeKill-sourcecode\lua\server\rpc\dispatchers.lua",".lua","113","2759"
"FreeKill-sourcecode\lua\server\rpc\entry.lua",".lua","97","2844"
"FreeKill-sourcecode\lua\server\rpc\fk.lua",".lua","561","14781"
"FreeKill-sourcecode\lua\server\rpc\jsonrpc.lua",".lua","327","9621"
"FreeKill-sourcecode\lua\server\rpc\README.md",".md","180","7985"
"FreeKill-sourcecode\lua\server\rpc\stdio.lua",".lua","37","796"
"FreeKill-sourcecode\lua\server\scheduler.lua",".lua","164","4149"
"FreeKill-sourcecode\lua\server\serverplayer_base.lua",".lua","175","5378"
"FreeKill-sourcecode\lua\server\task.lua",".lua","116","2733"
"FreeKill-sourcecode\lua\server\taskplayer.lua",".lua","91","2762"
"FreeKill-sourcecode\lua\ui_emu\base.lua",".lua","154","4709"
"FreeKill-sourcecode\lua\ui_emu\choosecardbox.lua",".lua","34","1059"
"FreeKill-sourcecode\lua\ui_emu\common.lua",".lua","34","855"
"FreeKill-sourcecode\lua\ui_emu\control.lua",".lua","11","285"
"FreeKill-sourcecode\lua\ui_emu\interaction.lua",".lua","23","651"
"FreeKill-sourcecode\lua\ui_emu\okscene.lua",".lua","18","453"
"FreeKill-sourcecode\lua\ui_emu\popupbox.lua",".lua","42","1401"
"FreeKill-sourcecode\lua\ui_emu\poxi_box.lua",".lua","0","0"
"FreeKill-sourcecode\lua\ui_emu\preferences.lua",".lua","182","4131"
"FreeKill-sourcecode\lua\ui_emu\roomscene.lua",".lua","87","2441"
"FreeKill-sourcecode\lua\ui_emu\specialskills.lua",".lua","21","546"
"FreeKill-sourcecode\lua\ui-util.lua",".lua","66","2586"
